Source,Target,Type ,Weight
790,b,Undirected,1805
791,b,Undirected,2687
792,b,Undirected,1785
793,b,Undirected,2119
794,b,Undirected,1743
795,b,Undirected,2774
796,b,Undirected,1304
797,b,Undirected,1234
798,b,Undirected,2724
799,b,Undirected,5433
800,b,Undirected,1889
801,b,Undirected,3233
802,b,Undirected,2296
803,b,Undirected,2503
804,b,Undirected,2541
805,b,Undirected,3402
806,b,Undirected,3673
807,b,Undirected,7244
808,b,Undirected,2148
809,b,Undirected,3260
810,b,Undirected,1766
811,b,Undirected,4062
812,b,Undirected,1593
813,b,Undirected,1662
814,b,Undirected,2105
815,b,Undirected,1547
816,b,Undirected,1891
817,b,Undirected,1355
818,b,Undirected,2523
819,b,Undirected,2238
820,b,Undirected,1882
821,b,Undirected,1780
822,b,Undirected,2515
823,b,Undirected,2908
824,b,Undirected,1568
825,b,Undirected,1656
826,b,Undirected,2558
827,b,Undirected,2835
828,b,Undirected,3764
829,b,Undirected,2221
830,b,Undirected,2016
831,b,Undirected,1958
832,b,Undirected,1848
833,b,Undirected,1862
834,b,Undirected,1481
835,b,Undirected,1350
836,b,Undirected,1382
837,b,Undirected,2857
838,b,Undirected,3080
839,b,Undirected,1816
840,b,Undirected,4652
841,b,Undirected,1485
842,b,Undirected,1255
843,b,Undirected,1377
844,b,Undirected,1762
845,b,Undirected,1312
846,b,Undirected,2002
847,b,Undirected,1328
848,b,Undirected,1281
849,b,Undirected,2343
850,b,Undirected,2713
851,b,Undirected,1952
852,b,Undirected,2689
853,b,Undirected,1807
854,b,Undirected,1796
855,b,Undirected,2642
856,b,Undirected,1537
857,b,Undirected,2565
858,b,Undirected,2280
859,b,Undirected,1638
860,b,Undirected,3342
861,b,Undirected,2340
862,b,Undirected,1156
863,b,Undirected,1132
864,b,Undirected,988
865,b,Undirected,792
866,b,Undirected,1021
867,b,Undirected,1306
868,b,Undirected,1749
869,b,Undirected,1356
870,b,Undirected,1347
871,b,Undirected,2779
872,b,Undirected,6015
873,b,Undirected,1426
874,b,Undirected,1438
875,b,Undirected,1436
876,b,Undirected,1267
877,b,Undirected,2041
878,b,Undirected,2091
879,b,Undirected,1361
880,b,Undirected,3201
881,b,Undirected,4987
882,b,Undirected,2864
883,b,Undirected,2726
884,b,Undirected,1945
885,b,Undirected,1739
886,b,Undirected,2586
887,b,Undirected,6460
888,b,Undirected,3654
889,b,Undirected,3318
890,b,Undirected,1784
891,b,Undirected,1857
892,b,Undirected,1860
893,b,Undirected,1808
894,b,Undirected,2423
895,b,Undirected,2560
896,b,Undirected,1197
897,b,Undirected,3545
898,b,Undirected,2540
899,b,Undirected,4278
900,b,Undirected,3241
901,b,Undirected,4721
902,b,Undirected,4789
903,b,Undirected,1857
904,b,Undirected,838
905,b,Undirected,940
906,b,Undirected,1750
907,b,Undirected,1420
908,b,Undirected,2350
909,b,Undirected,7717
910,b,Undirected,3181
911,b,Undirected,5364
912,b,Undirected,3717
913,b,Undirected,1968
914,b,Undirected,2099
915,b,Undirected,2547
916,b,Undirected,2962
917,b,Undirected,3495
918,b,Undirected,3795
919,b,Undirected,2398
920,b,Undirected,2951
921,b,Undirected,1321
922,b,Undirected,968
923,b,Undirected,1194
924,b,Undirected,3917
925,b,Undirected,3665
926,b,Undirected,3212
927,b,Undirected,1865
928,b,Undirected,2315
929,b,Undirected,2161
930,b,Undirected,3020
931,b,Undirected,3904
932,b,Undirected,1961
933,b,Undirected,5900
934,b,Undirected,2023
935,b,Undirected,5535
936,b,Undirected,5228
937,b,Undirected,3197
938,b,Undirected,4349
939,b,Undirected,3164
940,b,Undirected,4692
941,b,Undirected,6383
942,b,Undirected,4840
943,b,Undirected,2644
944,b,Undirected,2676
945,b,Undirected,8167
946,b,Undirected,4863
947,b,Undirected,6734
948,b,Undirected,11466
949,b,Undirected,7448
950,b,Undirected,5841
951,b,Undirected,1408
952,b,Undirected,917
953,b,Undirected,1146
954,b,Undirected,1472
955,b,Undirected,3235
956,b,Undirected,3258
957,b,Undirected,1764
958,b,Undirected,2477
959,b,Undirected,4109
960,b,Undirected,2199
961,b,Undirected,3034
962,b,Undirected,1335
963,b,Undirected,853
964,b,Undirected,946
965,b,Undirected,1265
966,b,Undirected,10557
967,b,Undirected,3556
968,b,Undirected,3225
969,b,Undirected,4614
970,b,Undirected,3502
971,b,Undirected,4814
972,b,Undirected,8862
973,b,Undirected,1727
974,b,Undirected,2391
975,b,Undirected,1881
976,b,Undirected,1108
977,b,Undirected,1093
978,b,Undirected,1014
979,b,Undirected,1057
980,b,Undirected,1614
981,b,Undirected,1714
982,b,Undirected,1414
983,b,Undirected,2517
984,b,Undirected,1766
985,b,Undirected,2503
986,b,Undirected,1961
987,b,Undirected,2074
988,b,Undirected,2057
989,b,Undirected,1718
990,b,Undirected,1976
991,b,Undirected,1667
992,b,Undirected,1641
993,b,Undirected,1890
994,b,Undirected,2291
995,b,Undirected,1541
996,b,Undirected,1851
997,b,Undirected,1810
998,b,Undirected,4672
999,b,Undirected,1890
1000,b,Undirected,2770
1001,b,Undirected,3251
1002,b,Undirected,1128
1003,b,Undirected,1126
1004,b,Undirected,585
1005,b,Undirected,1272
1006,b,Undirected,4259
1007,b,Undirected,1591
1008,b,Undirected,3570
