Source,Target,Type,Weight
545,b,Undirected,19743
546,b,Undirected,19236
547,b,Undirected,33365
548,b,Undirected,24800
549,b,Undirected,31139
550,b,Undirected,11793
551,b,Undirected,28462
552,b,Undirected,13367
553,b,Undirected,10128
554,b,Undirected,10404
555,b,Undirected,16315
556,b,Undirected,20870
557,b,Undirected,27020
558,b,Undirected,67217
559,b,Undirected,50014
560,b,Undirected,92615
561,b,Undirected,33108
562,b,Undirected,37954
563,b,Undirected,30615
564,b,Undirected,16048
565,b,Undirected,13325
566,b,Undirected,26905
567,b,Undirected,14648
568,b,Undirected,24893
569,b,Undirected,6917
570,b,Undirected,9978
571,b,Undirected,12333
572,b,Undirected,42695
573,b,Undirected,9020
574,b,Undirected,7018
575,b,Undirected,5294
576,b,Undirected,26744
577,b,Undirected,12244
578,b,Undirected,11125
579,b,Undirected,12679
580,b,Undirected,32771
581,b,Undirected,10915
582,b,Undirected,42320
583,b,Undirected,9497
584,b,Undirected,19219
585,b,Undirected,22975
586,b,Undirected,40638
587,b,Undirected,10577
588,b,Undirected,12466
589,b,Undirected,16160
590,b,Undirected,9908
591,b,Undirected,8037
592,b,Undirected,6904
593,b,Undirected,9757
594,b,Undirected,10663
595,b,Undirected,28008
596,b,Undirected,16411
597,b,Undirected,9972
598,b,Undirected,30993
599,b,Undirected,14836
600,b,Undirected,6445
601,b,Undirected,6035
602,b,Undirected,19267
603,b,Undirected,7233
604,b,Undirected,8409
605,b,Undirected,7371
606,b,Undirected,6974
607,b,Undirected,8613
608,b,Undirected,9836
609,b,Undirected,18425
610,b,Undirected,9315
611,b,Undirected,6008
612,b,Undirected,8807
613,b,Undirected,6107
614,b,Undirected,6619
615,b,Undirected,18505
616,b,Undirected,7997
617,b,Undirected,3718
618,b,Undirected,3324
619,b,Undirected,6018
620,b,Undirected,10506
621,b,Undirected,4151
622,b,Undirected,21776
623,b,Undirected,11839
624,b,Undirected,4879
625,b,Undirected,13917
626,b,Undirected,41586
627,b,Undirected,28974
628,b,Undirected,10858
629,b,Undirected,15477
630,b,Undirected,44251
631,b,Undirected,9917
632,b,Undirected,5910
633,b,Undirected,21635
634,b,Undirected,5654
635,b,Undirected,6696
636,b,Undirected,5216
637,b,Undirected,7277
638,b,Undirected,6433
639,b,Undirected,6539
640,b,Undirected,7603
641,b,Undirected,4847
642,b,Undirected,8489
643,b,Undirected,8463
644,b,Undirected,4882
645,b,Undirected,8700
646,b,Undirected,4520
647,b,Undirected,8819
648,b,Undirected,11236
649,b,Undirected,9284
650,b,Undirected,17181
651,b,Undirected,7319
652,b,Undirected,8962
653,b,Undirected,10476
654,b,Undirected,3972
655,b,Undirected,5086
656,b,Undirected,5276
657,b,Undirected,7024
658,b,Undirected,16652
659,b,Undirected,4207
660,b,Undirected,6473
661,b,Undirected,6519
662,b,Undirected,5789
663,b,Undirected,6055
664,b,Undirected,9341
665,b,Undirected,18702
666,b,Undirected,11073
667,b,Undirected,20383
668,b,Undirected,10757
669,b,Undirected,25407
670,b,Undirected,10892
671,b,Undirected,23990
672,b,Undirected,11487
673,b,Undirected,21951
674,b,Undirected,10646
675,b,Undirected,6058
676,b,Undirected,13432
677,b,Undirected,8205
678,b,Undirected,5523
679,b,Undirected,8862
680,b,Undirected,10409
681,b,Undirected,12014
682,b,Undirected,35561
683,b,Undirected,14899
684,b,Undirected,3949
685,b,Undirected,4216
686,b,Undirected,8510
687,b,Undirected,6140
688,b,Undirected,8388
689,b,Undirected,4529
690,b,Undirected,4362
691,b,Undirected,4341
692,b,Undirected,3539
693,b,Undirected,5854
694,b,Undirected,3124
695,b,Undirected,2044
696,b,Undirected,4161
697,b,Undirected,11801
698,b,Undirected,8393
699,b,Undirected,9029
700,b,Undirected,16604
701,b,Undirected,4325
