Source,Target,Type,Weight
801,b,Undirected,660
802,b,Undirected,270
803,b,Undirected,268
804,b,Undirected,431
805,b,Undirected,383
806,b,Undirected,653
807,b,Undirected,1021
808,b,Undirected,424
809,b,Undirected,733
810,b,Undirected,154
811,b,Undirected,1158
812,b,Undirected,136
813,b,Undirected,206
814,b,Undirected,341
815,b,Undirected,166
816,b,Undirected,238
817,b,Undirected,203
818,b,Undirected,453
819,b,Undirected,550
820,b,Undirected,170
821,b,Undirected,173
822,b,Undirected,796
823,b,Undirected,478
824,b,Undirected,186
825,b,Undirected,200
826,b,Undirected,488
827,b,Undirected,477
828,b,Undirected,481
829,b,Undirected,461
830,b,Undirected,259
831,b,Undirected,388
832,b,Undirected,268
833,b,Undirected,257
834,b,Undirected,130
835,b,Undirected,125
836,b,Undirected,72
837,b,Undirected,282
838,b,Undirected,757
839,b,Undirected,310
840,b,Undirected,1404
841,b,Undirected,164
842,b,Undirected,153
843,b,Undirected,199
844,b,Undirected,307
845,b,Undirected,135
846,b,Undirected,282
847,b,Undirected,135
848,b,Undirected,112
849,b,Undirected,515
850,b,Undirected,545
851,b,Undirected,406
852,b,Undirected,532
853,b,Undirected,220
854,b,Undirected,276
855,b,Undirected,428
856,b,Undirected,196
857,b,Undirected,305
858,b,Undirected,245
859,b,Undirected,135
860,b,Undirected,450
861,b,Undirected,247
862,b,Undirected,75
863,b,Undirected,70
864,b,Undirected,69
865,b,Undirected,41
866,b,Undirected,73
867,b,Undirected,115
868,b,Undirected,156
869,b,Undirected,104
870,b,Undirected,116
871,b,Undirected,242
872,b,Undirected,651
873,b,Undirected,167
874,b,Undirected,134
875,b,Undirected,135
876,b,Undirected,91
877,b,Undirected,189
878,b,Undirected,170
879,b,Undirected,97
880,b,Undirected,559
881,b,Undirected,1847
882,b,Undirected,343
883,b,Undirected,508
884,b,Undirected,260
885,b,Undirected,179
886,b,Undirected,398
887,b,Undirected,1338
888,b,Undirected,644
889,b,Undirected,508
890,b,Undirected,189
891,b,Undirected,203
892,b,Undirected,244
893,b,Undirected,232
894,b,Undirected,236
895,b,Undirected,362
896,b,Undirected,117
897,b,Undirected,856
898,b,Undirected,571
899,b,Undirected,780
900,b,Undirected,463
901,b,Undirected,546
902,b,Undirected,832
903,b,Undirected,331
904,b,Undirected,62
905,b,Undirected,78
906,b,Undirected,206
907,b,Undirected,148
908,b,Undirected,238
909,b,Undirected,1179
910,b,Undirected,286
911,b,Undirected,663
912,b,Undirected,513
913,b,Undirected,349
914,b,Undirected,264
915,b,Undirected,240
916,b,Undirected,298
917,b,Undirected,605
918,b,Undirected,466
919,b,Undirected,202
920,b,Undirected,296
921,b,Undirected,144
922,b,Undirected,106
923,b,Undirected,101
924,b,Undirected,882
925,b,Undirected,402
926,b,Undirected,479
927,b,Undirected,201
928,b,Undirected,272
929,b,Undirected,369
930,b,Undirected,531
931,b,Undirected,635
932,b,Undirected,331
933,b,Undirected,1373
934,b,Undirected,360
935,b,Undirected,1155
936,b,Undirected,834
937,b,Undirected,474
938,b,Undirected,998
939,b,Undirected,803
940,b,Undirected,488
941,b,Undirected,1016
942,b,Undirected,535
943,b,Undirected,191
944,b,Undirected,206
945,b,Undirected,2333
946,b,Undirected,801
947,b,Undirected,1113
948,b,Undirected,5750
949,b,Undirected,944
950,b,Undirected,634
951,b,Undirected,255
952,b,Undirected,131
953,b,Undirected,226
954,b,Undirected,134
955,b,Undirected,341
956,b,Undirected,277
957,b,Undirected,106
958,b,Undirected,246
959,b,Undirected,1357
960,b,Undirected,254
961,b,Undirected,278
962,b,Undirected,185
963,b,Undirected,93
964,b,Undirected,89
965,b,Undirected,136
966,b,Undirected,2663
967,b,Undirected,533
968,b,Undirected,247
969,b,Undirected,288
970,b,Undirected,264
971,b,Undirected,647
972,b,Undirected,3261
973,b,Undirected,373
974,b,Undirected,375
975,b,Undirected,271
976,b,Undirected,130
977,b,Undirected,157
978,b,Undirected,112
979,b,Undirected,90
980,b,Undirected,378
981,b,Undirected,317
982,b,Undirected,130
983,b,Undirected,290
984,b,Undirected,202
985,b,Undirected,491
986,b,Undirected,448
987,b,Undirected,466
988,b,Undirected,221
989,b,Undirected,204
990,b,Undirected,189
991,b,Undirected,191
992,b,Undirected,138
993,b,Undirected,266
994,b,Undirected,273
995,b,Undirected,116
996,b,Undirected,166
997,b,Undirected,139
998,b,Undirected,793
999,b,Undirected,208
1000,b,Undirected,522
1001,b,Undirected,621
1002,b,Undirected,218
1003,b,Undirected,120
1004,b,Undirected,46
1005,b,Undirected,126
1006,b,Undirected,888
1007,b,Undirected,168
1008,b,Undirected,927
1009,b,Undirected,360
1010,b,Undirected,302
1011,b,Undirected,90
1012,b,Undirected,130
1013,b,Undirected,332
1014,b,Undirected,612
1015,b,Undirected,156
1016,b,Undirected,1099
1017,b,Undirected,109
1018,b,Undirected,161
1019,b,Undirected,213
1020,b,Undirected,516
1021,b,Undirected,102
1022,b,Undirected,31
1023,b,Undirected,78
1024,b,Undirected,34
